"Id","Date","Slug","Title","CategoryIds","Categories","Destination","FeaturedMediaId"
"5438","2018-01-23T16:10:44","drawing-spells","Drawing Spells","43","Romance","WoD","6453"
"5418","2018-01-22T22:13:52","money-power-glory","Money Power Glory","43","Romance","WoD","6453"
"5395","2018-01-18T22:10:26","audition","Audition","43","Romance","WoD","6453"
"5379","2018-01-18T18:36:40","no-church-in-the-wild","No Church In The Wild","43","Romance","WoD","6453"
"5373","2018-01-16T17:21:45","eyes-closed","Eyes Closed","43","Romance","WoD","6453"
"5370","2018-01-15T13:15:20","everything-is-blue","Everything Is Blue","43","Romance","WoD","6453"
"5472","2018-01-14T21:31:25","holding-in-to-you","Holding In To You","43","Romance","WoD","6453"
"5342","2018-01-13T20:42:00","blue","Blue","43","Romance","WoD","6453"
"5340","2018-01-12T13:55:08","bad-blood","Bad Blood","43","Romance","WoD","6453"
"5310","2018-01-11T16:09:26","it-aint-over-til-its-over","It Ain’t Over ‘til It’s Over","43","Romance","WoD","6453"
"5300","2018-01-09T12:49:11","is-there-somewhere","Is There Somewhere","43","Romance","WoD","6453"
"5286","2018-01-08T16:55:37","artemis-hurricane","Ártemis Hurricane","43","Romance","WoD","6453"
"5280","2018-01-07T23:05:41","all-i-ask","All I Ask","43","Romance","WoD","6453"
"5256","2018-01-07T11:26:55","saurgate","Saurgate","43","Romance","WoD","6453"
"5223","2018-01-04T15:04:54","painted-on-my-heart-scrawled-upon-my-soul","Painted On My Heart, Scrawled Upon My Soul","43","Romance","WoD","6453"
"5215","2018-01-02T17:49:44","solsticio-de-verao-after-party","Solstício de Verão – After Party","43","Romance","WoD","6453"
"5178","2017-12-28T12:25:27","solsticio-de-verao","Solstício de Verão","43","Romance","WoD","6453"
"5194","2017-12-25T17:58:57","veronica","Veronica","43","Romance","WoD","6453"
"5192","2017-12-24T17:44:21","veronica-the-heart-wants-what-it-wants","Veronica – The Heart Wants What It Wants","43","Romance","WoD","6453"
"5189","2017-12-22T17:10:07","holding-on-to-you","Holding On To You","43","Romance","WoD","6453"
"5186","2017-12-21T16:33:18","ready-for-it","…Ready for It?","43","Romance","WoD","6453"
"5183","2017-12-20T16:24:18","cassian-na-na-na","Cassian – Na Na Na","43","Romance","WoD","6453"
"5127","2017-12-19T13:24:10","s-o-s","S.O.S","43","Romance","WoD","6453"
"5115","2017-12-15T00:41:53","mary-shelley","Mary Shelley","43","Romance","WoD","6453"
"5120","2017-12-14T22:47:10","give-your-heart-a-break","Give Your Heart A Break","43","Romance","WoD","6453"
"5201","2017-12-13T18:34:16","nothing-but-a-heartbeat","Nothing But a Heartbeat","43","Romance","WoD","6453"
"4518","2017-03-05T01:24:02","cazzo","Cazzo!","43","Romance","WoD","6453"
"4244","2016-07-06T13:09:20","labios-da-marylin-monroe","Dangerous Animals : Lábios da Marylin Monroe","43","Romance","WoD","6453"
"4232","2016-06-28T17:34:25","a-aguia-branca","Dangerous Animals : A Águia Branca","43","Romance","WoD","6453"
"4213","2016-06-27T18:57:10","respeitaras-o-territorio-do-proximo","Dangeous Animals : Respeitarás o Território do Próximo","43","Romance","WoD","6453"
"4210","2016-06-27T18:02:51","a-nossa-valsa","Dangerous Animals : A Nossa Valsa","43","Romance","WoD","6453"
"4207","2016-06-27T17:14:17","o-palacio-do-lobo-branco","Dangerous Animals : O Palácio do Lobo Branco","43","Romance","WoD","6453"
"4200","2016-06-27T16:29:22","deixando-a-toca","Dangerous Animals : Deixando a Toca","43","Romance","WoD","6453"
"2722","2016-05-02T13:34:18","garou","Dangerous Animals : Garou","43","Romance","WoD","6453"
